system:index,date,ndti_mean,.geo
218,2014-08-07,-0.13534185809379903,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2014-08-08,-0.14076156908862691,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2014-08-09,-0.10494253681210876,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2014-08-10,-0.11892778881999168,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2014-08-11,-0.11625922168206511,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2014-08-12,-0.13611568152588205,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2014-08-13,-0.1121446532165359,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2014-08-14,-0.14306852568189646,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2014-08-15,-0.11825473686498705,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2014-08-16,-0.1213491857945121,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2014-08-17,-0.1378015357472683,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2014-08-18,-0.13597290049776567,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2014-08-19,-0.13247704209337174,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2014-08-20,-0.10905417776768955,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2014-08-21,-0.13850385344443736,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2014-08-22,-0.12410506907192524,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2014-08-23,-0.13511928183733252,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2014-08-24,-0.14229295877322654,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2014-08-25,-0.1222898290674178,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2014-08-26,-0.14336741071446596,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2014-08-27,-0.11408221075804267,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2014-08-28,-0.12598755884272397,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2014-08-29,-0.12187668287488718,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2014-08-30,-0.13665940348236794,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2014-08-31,-0.11630858060269478,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2014-09-01,-0.11413530903634803,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2014-09-02,-0.1370036735738599,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2014-09-03,-0.11916655469959773,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2014-09-04,-0.14379622725987773,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2014-09-05,-0.11123977611781662,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2014-09-06,-0.11958412176232368,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2014-09-07,-0.12103008559765009,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2014-09-08,-0.13579130085369626,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2014-09-09,-0.12537970175897897,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2014-09-10,-0.11731324475648598,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2014-09-11,-0.13825990062472684,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2014-09-12,-0.113292680456733,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2014-09-13,-0.12424477589626133,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2014-09-14,-0.10390762281555029,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2014-09-15,-0.13665272476722287,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2014-09-16,-0.11143229914121552,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2014-09-17,-0.12101682063594807,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2014-09-18,-0.1024303504826583,"{""type"":""MultiPoint"",""coordinates"":[]}"
