system:index,date,sur_refl_b02_mean,.geo
206,2014-07-26,3423.8125549464617,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2014-07-27,2457.747940989644,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2014-07-28,3301.7962553652546,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2014-07-29,2568.915365115787,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2014-07-30,3268.0360724598822,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2014-07-31,2977.5837106919325,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2014-08-01,2249.310907019622,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2014-08-02,3619.992742778029,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2014-08-03,2382.158647717901,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2014-08-04,4103.381967847342,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2014-08-05,2990.4074166546907,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2014-08-06,3570.0434286700297,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2014-08-07,2912.403750877885,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2014-08-08,2480.724911419415,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2014-08-09,3642.2404520386312,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2014-08-10,2770.573294263351,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2014-08-11,3341.8759355684397,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2014-08-12,2234.7273287833436,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2014-08-13,3312.8177801310176,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2014-08-14,2440.016349031858,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2014-08-15,3236.591830568267,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2014-08-16,2843.250523104969,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2014-08-17,2357.49181544797,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2014-08-18,3169.089523822197,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2014-08-19,2258.3857931961716,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2014-08-20,3270.802941638943,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2014-08-21,2312.5125830015163,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2014-08-22,3224.8356605698987,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2014-08-23,2594.744487935534,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2014-08-24,2259.7773739558625,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2014-08-25,2935.4695020825548,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2014-08-26,2171.079023273957,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2014-08-27,3211.3137784594996,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2014-08-28,2238.5900846941627,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2014-08-29,3161.5272319832975,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2014-08-30,2503.3085889660647,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2014-08-31,3299.7508574827293,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2014-09-01,3602.2945012042414,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2014-09-02,2887.521041075218,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2014-09-03,3103.109546794038,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2014-09-04,2122.378949079004,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2014-09-05,3195.8572650401297,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2014-09-06,2986.3805152393984,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2014-09-07,3337.2962397352253,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2014-09-08,2685.3720066596748,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2014-09-09,2728.7031202317357,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2014-09-10,2973.1112372949924,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2014-09-11,2284.9811254977203,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2014-09-12,3263.766212438178,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2014-09-13,2352.581277127685,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2014-09-14,3505.1158523191816,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2014-09-15,2438.756031802887,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2014-09-16,3333.383034742738,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2014-09-17,2622.8638531442284,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2014-09-18,2697.013602993717,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2014-09-19,3234.9703238864745,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2014-09-20,2836.287664342746,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2014-09-21,3111.2825124711017,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2014-09-22,2508.8843305990367,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2014-09-23,3146.8434069598065,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2014-09-24,2478.7454274495667,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2014-09-25,2827.550144258192,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2014-09-26,3001.5979727498034,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2014-09-27,2207.7166522705675,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2014-09-28,7255.610525119715,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2014-09-29,4271.753796212034,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2014-09-30,3023.435291152292,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2014-10-01,2487.1045587447447,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2014-10-02,3169.310494611096,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2014-10-03,2390.4071004618186,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2014-10-04,1961.216243620652,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2014-10-05,2724.1859764349306,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2014-10-06,2029.1505528327555,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2014-10-07,2903.077549016635,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2014-10-08,2140.22395447032,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2014-10-09,3015.523101125603,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2014-10-10,2392.0722419960985,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2014-10-11,3864.9235444138594,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2014-10-12,3411.423564767509,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2014-10-13,2575.1491191672885,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2014-10-14,3764.715676921936,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2014-10-15,2800.776739137997,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2014-10-16,3467.7472051356326,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2014-10-17,2262.052482629867,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2014-10-18,4547.383161413198,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2014-10-19,7262.4576585547065,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2014-10-20,2532.578649034017,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2014-10-21,2536.314875057858,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2014-10-22,1962.4457240324566,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,2014-10-23,2976.034081752295,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,2014-10-24,2068.714221396311,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,2014-10-25,2947.833947813957,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,2014-10-26,,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,2014-10-27,2815.204099032423,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,2014-10-28,2518.8560708373393,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,2014-10-29,2087.212163651857,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,2014-10-30,3673.5714634775713,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,2014-10-31,5380.168412324853,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,2014-11-01,6389.831725809999,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,2014-11-02,6413.764181604612,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,2014-11-03,5394.762805232798,"{""type"":""MultiPoint"",""coordinates"":[]}"
307,2014-11-04,5785.244479772569,"{""type"":""MultiPoint"",""coordinates"":[]}"
308,2014-11-05,1861.8394455421844,"{""type"":""MultiPoint"",""coordinates"":[]}"
309,2014-11-06,2407.200814537954,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,2014-11-07,1904.1113725488196,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,2014-11-08,2698.5723715986505,"{""type"":""MultiPoint"",""coordinates"":[]}"
